new_id,name
1,adam putnam
2,adam schiff
3,adam smith
4,alan wheat
5,albert wynn
6,alcee hastings
7,alfred mccandless
8,allan swift
9,allen boyd
10,amo houghton
11,ander crenshaw
12,andrea seastrand
13,andrew jacobs
14,anna eshoo
15,anne northup
16,anthony beilenson
17,anthony weiner
18,arthur ravenel
19,artur davis
20,asa hutchinson
21,austin murphy
22,barbara cubin
23,barbara kennelly
24,barbara lee
25,barbara vucanovich
26,barbara-rose collins
27,barney frank
28,baron hill
29,bart gordon
30,bart stupak
31,ben lujan
32,ben quayle
33,benjamin cardin
34,benjamin gilman
35,bennie thompson
36,betty mccollum
37,bill archer
38,bill baker
39,bill barrett
40,bill brewster
41,bill orton
42,bill redmond
43,bill sarpalius
44,bill shuster
45,blanche lambert
46,bob barr
47,bob beauprez
48,bob clement
49,bob etheridge
50,bob filner
51,bob franks
52,bob inglis
53,bob riley
54,bob schaffer
55,bobby rush
56,brad carson
57,brad miller
58,brad schneider
59,brad sherman
60,brian baird
61,brian bilbray
62,brian kerns
63,bruce vento
64,butler derrick
65,c otter
66,c ruppersberger
67,calvin dooley
68,candice miller
69,carolyn kilpatrick
70,carolyn maloney
71,carolyn mccarthy
72,carrie meek
73,cass ballenger
74,cedric richmond
75,chaka fattah
76,charles bass
77,charles canady
78,charles dent
79,charles gonzalez
80,charles norwood
81,charles pickering
82,charles rangel
83,charles schumer
84,charles stenholm
85,charles taylor
86,charles wilson
87,charlie rose
88,chet edwards
89,chris bell
90,chris chocola
91,chris john
92,chris stewart
93,christopher cannon
94,christopher shays
95,ciro rodriguez
96,cleo fields
97,clifford stearns
98,collin peterson
99,constance morella
100,corrine brown
101,craig thomas
102,craig washington
103,curt clawson
104,cynthia mckinney
105,dale kildee
106,dan burton
107,dan hamburg
108,dan miller
109,dan rostenkowski
110,dana rohrabacher
111,daniel frisa
112,daniel glickman
113,daniel lungren
114,daniel schaefer
115,danny davis
116,darlene hooley
117,darrell issa
118,dave camp
119,dave mccurdy
120,dave weldon
121,david bonior
122,david dreier
123,david funderburk
124,david hobson
125,david levy
126,david mann
127,david mcintosh
128,david minge
129,david obey
130,david phelps
131,david roe
132,david scott
133,david skaggs
134,david vitter
135,david wu
136,dean gallo
137,debbie stabenow
138,deborah pryce
139,denise majette
140,dennis cardoza
