u,v,weight
1,104,0.0303030303030303
1,105,0.0204081632653061
1,106,0.0459830866807611
1,108,0.0227272727272727
1,11,0.0785027980149931
1,113,0.0303030303030303
1,115,0.0459830866807611
1,116,0.0481997677119628
1,120,0.0227272727272727
1,122,0.183333333333333
1,130,0.02
1,132,0.0677937841803388
1,134,0.024390243902439
1,138,0.103741496598639
1,139,0.024390243902439
1,140,0.040016006402561
1,141,0.0459830866807611
1,142,0.126688739058077
1,143,0.060016006402561
1,144,0.040016006402561
1,146,0.0459830866807611
1,153,0.0481859410430839
1,155,0.085590929818016
1,161,0.02
1,163,0.0196078431372549
1,165,0.0499108734402852
1,167,0.0481859410430839
1,169,0.0459830866807611
1,171,0.0941828543927239
1,173,0.0459830866807611
1,178,0.0204081632653061
1,180,0.0232558139534884
1,182,0.0438095238095238
1,184,0.0438095238095238
1,188,0.125
1,189,0.0196078431372549
1,19,0.0546932742054693
1,192,0.0877937841803388
1,194,0.0204081632653061
1,20,0.0227272727272727
1,203,0.0481859410430839
1,204,0.02
1,206,0.0719954648526077
1,209,0.0196078431372549
1,211,0.02
1,214,0.0204081632653061
1,216,0.0238095238095238
1,22,0.0204081632653061
1,220,0.0878076108492177
1,221,0.0447984071677451
1,224,0.0204081632653061
1,227,0.0204081632653061
1,228,0.0481859410430839
1,231,0.145408163265306
1,234,0.0774205469327421
1,242,0.0481997677119628
1,244,0.0459830866807611
1,251,0.0762861169837914
1,253,0.0833333333333333
1,255,0.0204081632653061
1,269,0.0238095238095238
1,27,0.0481859410430839
1,270,0.0481997677119628
1,28,0.164607843137255
1,280,0.0227272727272727
1,282,0.0204081632653061
1,285,0.0303030303030303
1,286,0.102879215248553
1,287,0.0431354359925789
1,289,0.125
1,292,0.0396078431372549
1,299,0.0779490881589577
1,3,0.0204081632653061
1,300,0.0238095238095238
1,302,0.0481859410430839
1,303,0.0204081632653061
1,307,0.040016006402561
1,308,0.0238095238095238
1,310,0.183333333333333
1,311,0.0785027980149931
1,313,0.0785027980149931
1,315,0.0227272727272727
1,316,0.0743011173427242
1,317,0.0459830866807611
1,319,0.108201947445645
1,321,0.0481859410430839
1,323,0.0238095238095238
1,324,0.0227272727272727
1,326,0.0204081632653061
1,327,0.02
1,328,0.0396078431372549
1,330,0.0232558139534884
1,332,0.02
1,333,0.0238095238095238
1,336,0.0238095238095238
1,337,0.0663912499460672
1,34,0.0227272727272727
1,344,0.024390243902439
1,345,0.0833333333333333
1,346,0.0459830866807611
1,347,0.0459830866807611
1,35,0.0634173669467787
1,351,0.0204081632653061
1,356,0.0785027980149931
1,357,0.0459830866807611
1,358,0.0238095238095238
1,36,0.0436639772187945
1,361,0.02
1,362,0.0459830866807611
1,371,0.0238095238095238
1,375,0.0481859410430839
1,376,0.0204081632653061
1,383,0.0232558139534884
1,384,0.0238095238095238
1,385,0.0238095238095238
1,386,0.0204081632653061
1,387,0.0396078431372549
1,388,0.024390243902439
1,389,0.0546932742054693
1,393,0.0396078431372549
1,397,0.0396078431372549
1,400,0.040016006402561
1,401,0.183333333333333
1,402,0.0232558139534884
1,406,0.0546932742054693
1,409,0.183333333333333
1,412,0.0481859410430839
1,417,0.0238095238095238
1,418,0.0459830866807611
1,422,0.0196078431372549
1,423,0.0546932742054693
1,424,0.02
1,428,0.02
1,429,0.0238095238095238
1,431,0.0663912499460672
1,432,0.040016006402561
1,433,0.0436639772187945
1,440,0.0196078431372549
1,442,0.0481859410430839
1,446,0.173185941043084
1,448,0.0232558139534884
1,449,0.0719954648526077
1,450,0.0481859410430839
1,459,0.0503030303030303
1,46,0.0227272727272727
1,464,0.0238095238095238
1,467,0.0396078431372549
1,470,0.0396078431372549
1,471,0.0196078431372549
1,472,0.0396078431372549
1,473,0.0639980870396939
1,477,0.0232558139534884
1,478,0.0204081632653061
1,48,0.0238095238095238
1,481,0.0204081632653061
1,482,0.0396078431372549
1,488,0.0481859410430839
1,49,0.0396078431372549
1,494,0.0232558139534884
1,495,0.0481997677119628
1,496,0.0227272727272727
1,497,0.0204081632653061
1,499,0.094169027723845
1,501,0.15530303030303
1,503,0.213636363636364
1,506,0.0204081632653061
1,509,0.0238095238095238
1,510,0.0481859410430839
1,513,0.125
1,514,0.1
1,517,0.0833333333333333
1,518,0.024390243902439
1,521,0.0882019474456449
1,523,0.0204081632653061
1,524,0.0238095238095238
1,53,0.02
1,532,0.0546932742054693
1,534,0.060016006402561
1,536,0.0396078431372549
1,538,0.0408163265306122
1,54,0.02
1,541,0.120408163265306
1,542,0.0785027980149931
1,550,0.0396078431372549
1,556,0.024390243902439
1,558,0.0204081632653061
1,56,0.0204081632653061
1,561,0.0396078431372549
1,562,0.0227272727272727
1,564,0.0196078431372549
1,566,0.0546932742054693
1,568,0.0951014374707754
1,57,0.0481859410430839
1,570,0.0459830866807611
1,572,0.0481859410430839
1,576,0.02
1,577,0.0546932742054693
1,580,0.06859410430839
1,581,0.0238095238095238
1,588,0.02
1,589,0.02
1,59,0.0481859410430839
1,590,0.102879215248553
1,592,0.0204081632653061
1,595,0.148185941043084
1,6,0.183333333333333
1,60,0.0546932742054693
1,600,0.0204081632653061
1,602,0.0481859410430839
1,604,0.040016006402561
1,607,0.094169027723845
1,608,0.0408163265306122
1,612,0.0196078431372549
1,617,0.0663912499460672
1,621,0.0833333333333333
1,624,0.0481997677119628
1,626,0.0396078431372549
1,627,0.102879215248553
1,628,0.053030303030303
1,632,0.0459830866807611
1,637,0.0833333333333333
1,639,0.0447984071677451
1,641,0.0396078431372549
1,643,0.0232558139534884
1,646,0.0396078431372549
1,649,0.0459830866807611
1,65,0.0227272727272727
1,655,0.120408163265306
1,657,0.0204081632653061
1,658,0.0459830866807611
1,66,0.0232558139534884
1,660,0.060016006402561
1,661,0.0204081632653061
1,662,0.024390243902439
1,663,0.0238095238095238
1,67,0.060016006402561
1,673,0.0204081632653061
1,676,0.06859410430839
1,679,0.0204081632653061
1,68,0.0232558139534884
1,681,0.0238095238095238
1,686,0.0428636570907433
1,687,0.0303030303030303
1,688,0.0396078431372549
1,695,0.0481997677119628
1,699,0.0238095238095238
1,70,0.219169027723845
1,71,0.0719954648526077
1,75,0.0227272727272727
1,76,0.0238095238095238
1,81,0.0396078431372549
1,84,0.0396078431372549
1,86,0.0481859410430839
1,88,0.0546932742054693
1,89,0.0232558139534884
1,90,0.0499108734402852
1,91,0.02
1,93,0.0663912499460672
1,94,0.0907814938485062
1,95,0.0204081632653061
1,98,0.0396078431372549
1,99,0.0227272727272727
10,104,0.0928133922814774
10,106,0.1150356145037
